       -1.93362439       -0.39024081       -0.00000006        0.48355787
       -1.69918523       -0.35462712        0.00000106        0.68241702
       -1.51252492       -0.35462581        0.00000309        0.68241708
       -1.41124239       -0.35291704        0.00000733        0.93333845
       -1.16249119       -0.35291209        0.00239837        1.03727484
       -1.16224885       -0.18775739        0.00416861        1.03728856
       -1.03384931       -0.18003191        0.16196375        1.16224114
       -1.03383582       -0.00222765        0.23614397        1.16249688
       -0.95144471       -0.00111263        0.25857105        1.41124256
       -0.80102086       -0.00110161        0.26880425        1.54055126
       -0.80102049       -0.00000755        0.40332754        1.69853772
       -0.79811164       -0.00000294        0.41262873        1.71851793
       -0.79811163       -0.00000167        0.48355477        1.72634664
