       -1.16249119       -0.00110161       -1.93362439       -0.35462581        0.00936119
       -1.03384931        0.68241702        0.16196375        0.00000106        0.53525068
       -0.80102086        0.48355477       -0.00000294        0.00416861        0.01100330
       -0.35291209        0.00000733        0.93333845       -0.39024081        0.14134896
       -1.16224885       -1.69918523        1.72634664        1.54055126        0.18683957
        1.03727484        0.40332754       -0.18003191       -1.41124239        0.00807554
       -0.79811163        0.26880425       -0.00000755       -0.00111263        0.00844029
       -0.35462712        0.00000309        1.69853772        0.68241708        0.01050160
       -0.00000167       -0.95144471        0.41262873        0.48355787        0.03392315
       -0.00222765        1.71851793        0.25857105        1.16249688        0.02025785
        0.23614397       -0.18775739        1.16224114       -1.03383582        0.01657530
       -1.51252492       -0.00000006        1.03728856       -0.80102049        0.01028934
        1.41124256        0.00239837       -0.79811164       -0.35291704        0.00813324
